iter	Passed	Remaining
621	1939	1178
622	1941	1174
623	1943	1171
624	1946	1167
625	1948	1164
626	1950	1160
627	1952	1156
628	1954	1152
629	1960	1151
630	1962	1147
631	1964	1143
632	1966	1139
633	1968	1136
634	1970	1132
635	1975	1130
636	1977	1126
637	1979	1123
638	1981	1119
639	1983	1115
640	1989	1114
641	1991	1110
642	1993	1107
643	1995	1103
644	1997	1099
645	1999	1095
646	2004	1093
647	2007	1090
648	2009	1086
649	2011	1083
650	2013	1079
651	2019	1077
652	2021	1074
653	2024	1070
654	2025	1066
655	2027	1063
656	2029	1059
657	2034	1057
658	2037	1054
659	2039	1050
660	2041	1046
661	2043	1043
662	2045	1039
663	2049	1037
664	2051	1033
665	2054	1030
666	2055	1026
667	2061	1024
668	2063	1021
669	2066	1017
670	2068	1013
671	2070	1010
672	2075	1008
673	2077	1004
674	2080	1001
675	2082	997
676	2083	994
677	2085	990
678	2088	987
679	2092	984
680	2094	980
681	2095	977
682	2100	975
683	2108	973
684	2112	971
685	2121	971
686	2124	967
687	2139	970
688	2145	968
689	2150	965
690	2152	962
691	2155	959
692	2164	958
693	2167	955
694	2168	951
695	2177	951
696	2180	947
697	2182	944
698	2184	940
699	2190	938
700	2192	935
701	2195	931
702	2197	928
703	2199	924
704	2201	921
705	2207	919
706	2210	916
707	2212	912
708	2214	908
709	2220	907
710	2225	904
711	2227	900
712	2228	897
713	2233	894
714	2236	891
715	2239	888
716	2242	884
717	2244	881
718	2246	877
719	2251	875
720	2254	872
721	2256	868
722	2258	865
723	2260	861
724	2266	859
725	2268	856
726	2271	852
727	2273	849
728	2274	845
729	2285	845
730	2288	842
731	2295	840
732	2297	836
733	2300	833
734	2301	829
735	2303	826
736	2305	822
737	2311	820
738	2313	817
739	2315	813
740	2317	810
741	2319	806
742	2320	802
743	2325	800
744	2327	796
745	2329	793
746	2331	789
747	2333	786
748	2335	782
749	2340	780
750	2342	776
751	2345	773
752	2346	769
753	2348	766
754	2353	763
755	2355	760
756	2358	757
757	2360	753
758	2362	750
759	2364	746
760	2369	744
761	2372	741
762	2374	737
763	2376	734
764	2378	730
765	2384	728
766	2387	725
767	2389	721
768	2391	718
769	2393	714
770	2394	711
771	2399	708
772	2402	705
773	2404	702
774	2405	698
775	2408	695
776	2414	692
777	2417	689
778	2419	686
779	2421	682
780	2423	679
781	2429	677
782	2431	673
783	2433	670
784	2435	667
785	2437	663
786	2438	660
787	2444	657
788	2446	654
789	2449	651
790	2450	647
791	2452	644
792	2455	640
793	2459	638
794	2461	634
795	2463	631
796	2465	627
797	2467	624
798	2472	621
799	2474	618
800	2476	615
801	2478	611
802	2480	608
803	2482	605
804	2488	602
805	2490	599
806	2492	596
807	2494	592
808	2496	589
809	2501	586
810	2503	583
811	2506	580
812	2508	576
813	2509	573
814	2511	570
815	2517	567
816	2518	564
817	2521	560
818	2523	557
