iter	Passed	Remaining
770	1776	527
771	1781	526
772	1782	523
773	1785	521
774	1787	518
775	1789	516
776	1791	514
777	1793	511
778	1796	509
779	1799	507
780	1803	505
781	1805	503
782	1807	500
783	1811	499
784	1813	496
785	1815	494
786	1818	492
787	1819	489
788	1821	487
789	1825	485
790	1828	483
791	1829	480
792	1832	478
793	1834	475
794	1835	473
795	1839	471
796	1841	469
797	1844	466
798	1846	464
799	1848	462
800	1850	459
801	1852	457
802	1856	455
803	1858	453
804	1860	450
805	1862	448
806	1864	445
807	1866	443
808	1871	441
809	1873	439
810	1874	436
811	1878	434
812	1880	432
813	1883	430
814	1886	428
815	1888	425
816	1892	423
817	1893	421
818	1895	418
819	1900	417
820	1901	414
821	1904	412
822	1906	410
823	1908	407
824	1910	405
825	1913	403
826	1916	400
827	1918	398
828	1920	396
829	1922	393
830	1924	391
831	1925	388
832	1930	386
833	1932	384
834	1934	382
835	1936	379
836	1938	377
837	1939	375
838	1944	373
839	1946	370
840	1947	368
841	1951	366
842	1952	363
843	1954	361
844	1959	359
845	1961	356
846	1963	354
847	1965	352
848	1967	349
849	1969	347
850	1972	345
851	1974	343
852	1976	340
853	1979	338
854	1981	335
855	1982	333
856	1984	331
857	1988	329
858	1990	326
859	1992	324
860	1995	322
861	1996	319
862	1998	317
863	2002	315
864	2005	312
865	2007	310
866	2010	308
867	2011	305
868	2013	303
869	2016	301
870	2018	298
871	2020	296
872	2022	294
873	2024	291
874	2026	289
875	2028	287
876	2032	285
877	2036	282
878	2042	281
879	2051	279
880	2055	277
881	2057	275
882	2059	272
883	2064	270
884	2069	268
885	2071	266
886	2073	264
887	2075	261
888	2083	260
889	2085	257
890	2088	255
891	2090	253
892	2096	251
893	2099	248
894	2101	246
895	2103	244
896	2105	241
897	2109	239
898	2111	237
899	2113	234
900	2115	232
901	2117	230
902	2119	227
903	2122	225
904	2127	223
905	2129	220
906	2131	218
907	2134	216
908	2135	213
909	2139	211
910	2141	209
911	2143	206
912	2145	204
913	2147	202
914	2149	199
915	2150	197
916	2154	195
917	2156	192
918	2158	190
919	2159	187
920	2161	185
921	2162	182
922	2164	180
923	2167	178
924	2169	175
925	2170	173
926	2172	171
927	2175	168
928	2176	166
929	2178	163
930	2179	161
931	2183	159
